qrCode,buildingId,unitNumber,type,brandModel,status,المبنى,تاريخ أول تسجيل,تاريخ آخر زيارة,عدد الزيارات المسجلة,,,,,,,
BS-103-WM-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-103,غسالة,,,الحي التجاري,,,,,,,,,,
BS-103-RF-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-103,ثلاجة,,,الحي التجاري,,,,,,,,,,
BS-202-AC-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-202,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-202-AC-02,a967194c-ba82-46d4-b602-46b4ec973b42,BS-202,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-202-AC-03,a967194c-ba82-46d4-b602-46b4ec973b42,BS-202,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-202-WM-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-202,غسالة,,,الحي التجاري,,,,,,,,,,
BS-202-RF-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-202,ثلاجة,,,الحي التجاري,,,,,,,,,,
BS-203-AC-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-203,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-203-AC-02,a967194c-ba82-46d4-b602-46b4ec973b42,BS-203,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-203-AC-03,a967194c-ba82-46d4-b602-46b4ec973b42,BS-203,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-203-WM-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-203,غسالة,,,الحي التجاري,,,,,,,,,,
BS-203-RF-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-203,ثلاجة,,,الحي التجاري,,,,,,,,,,
BS-302-AC-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-302,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-302-AC-02,a967194c-ba82-46d4-b602-46b4ec973b42,BS-302,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-302-AC-03,a967194c-ba82-46d4-b602-46b4ec973b42,BS-302,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-302-WM-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-302,غسالة,,,الحي التجاري,,,,,,,,,,
BS-302-RF-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-302,ثلاجة,,,الحي التجاري,,,,,,,,,,
BS-303-AC-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-303,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-303-AC-02,a967194c-ba82-46d4-b602-46b4ec973b42,BS-303,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-303-AC-03,a967194c-ba82-46d4-b602-46b4ec973b42,BS-303,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-303-WM-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-303,غسالة,,,الحي التجاري,,,,,,,,,,
BS-303-RF-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-303,ثلاجة,,,الحي التجاري,,,,,,,,,,
BS-402-AC-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-402,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-402-AC-02,a967194c-ba82-46d4-b602-46b4ec973b42,BS-402,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-402-AC-03,a967194c-ba82-46d4-b602-46b4ec973b42,BS-402,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-402-WM-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-402,غسالة,,,الحي التجاري,,,,,,,,,,
BS-402-RF-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-402,ثلاجة,,,الحي التجاري,,,,,,,,,,
BS-403-AC-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-403,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-403-AC-02,a967194c-ba82-46d4-b602-46b4ec973b42,BS-403,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-403-AC-03,a967194c-ba82-46d4-b602-46b4ec973b42,BS-403,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-403-WM-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-403,غسالة,,,الحي التجاري,,,,,,,,,,
BS-403-RF-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-403,ثلاجة,,,الحي التجاري,,,,,,,,,,
