building_id,netsuite_id,unit_name,Location,unit_type
5241128f-d04e-456a-8ba0-1ad6df7f51e1,6793,OK-M04,الادارة العامة نسائم صلالة : بنايات عوقد : عوقد-5,TWO_BEDROOM
5241128f-d04e-456a-8ba0-1ad6df7f51e1,6765,OK-M03,الادارة العامة نسائم صلالة : بنايات عوقد : عوقد-5,TWO_BEDROOM
5241128f-d04e-456a-8ba0-1ad6df7f51e1,6750,OK-M02,الادارة العامة نسائم صلالة : بنايات عوقد : عوقد-5,TWO_BEDROOM
5241128f-d04e-456a-8ba0-1ad6df7f51e1,6752,OK-M01,الادارة العامة نسائم صلالة : بنايات عوقد : عوقد-5,STUDIO
5241128f-d04e-456a-8ba0-1ad6df7f51e1,6776,OK-505,الادارة العامة نسائم صلالة : بنايات عوقد : عوقد-5,TWO_BEDROOM
5241128f-d04e-456a-8ba0-1ad6df7f51e1,6808,OK-504,الادارة العامة نسائم صلالة : بنايات عوقد : عوقد-5,TWO_BEDROOM
5241128f-d04e-456a-8ba0-1ad6df7f51e1,6775,OK-503,الادارة العامة نسائم صلالة : بنايات عوقد : عوقد-5,TWO_BEDROOM
5241128f-d04e-456a-8ba0-1ad6df7f51e1,6774,OK-502,الادارة العامة نسائم صلالة : بنايات عوقد : عوقد-5,TWO_BEDROOM
5241128f-d04e-456a-8ba0-1ad6df7f51e1,6807,OK-501,الادارة العامة نسائم صلالة : بنايات عوقد : عوقد-5,STUDIO
5241128f-d04e-456a-8ba0-1ad6df7f51e1,6806,OK-405,الادارة العامة نسائم صلالة : بنايات عوقد : عوقد-5,TWO_BEDROOM
5241128f-d04e-456a-8ba0-1ad6df7f51e1,6805,OK-404,الادارة العامة نسائم صلالة : بنايات عوقد : عوقد-5,TWO_BEDROOM
5241128f-d04e-456a-8ba0-1ad6df7f51e1,6773,OK-403,الادارة العامة نسائم صلالة : بنايات عوقد : عوقد-5,TWO_BEDROOM
5241128f-d04e-456a-8ba0-1ad6df7f51e1,6772,OK-402,الادارة العامة نسائم صلالة : بنايات عوقد : عوقد-5,TWO_BEDROOM
5241128f-d04e-456a-8ba0-1ad6df7f51e1,6804,OK-401,الادارة العامة نسائم صلالة : بنايات عوقد : عوقد-5,STUDIO
5241128f-d04e-456a-8ba0-1ad6df7f51e1,6803,OK-305,الادارة العامة نسائم صلالة : بنايات عوقد : عوقد-5,TWO_BEDROOM
5241128f-d04e-456a-8ba0-1ad6df7f51e1,6802,OK-304,الادارة العامة نسائم صلالة : بنايات عوقد : عوقد-5,TWO_BEDROOM
5241128f-d04e-456a-8ba0-1ad6df7f51e1,6801,OK-303,الادارة العامة نسائم صلالة : بنايات عوقد : عوقد-5,TWO_BEDROOM
5241128f-d04e-456a-8ba0-1ad6df7f51e1,6800,OK-302,الادارة العامة نسائم صلالة : بنايات عوقد : عوقد-5,TWO_BEDROOM
5241128f-d04e-456a-8ba0-1ad6df7f51e1,6799,OK-301,الادارة العامة نسائم صلالة : بنايات عوقد : عوقد-5,STUDIO
5241128f-d04e-456a-8ba0-1ad6df7f51e1,6798,OK-205,الادارة العامة نسائم صلالة : بنايات عوقد : عوقد-5,TWO_BEDROOM
5241128f-d04e-456a-8ba0-1ad6df7f51e1,6797,OK-204,الادارة العامة نسائم صلالة : بنايات عوقد : عوقد-5,TWO_BEDROOM
5241128f-d04e-456a-8ba0-1ad6df7f51e1,6771,OK-203,الادارة العامة نسائم صلالة : بنايات عوقد : عوقد-5,TWO_BEDROOM
5241128f-d04e-456a-8ba0-1ad6df7f51e1,6796,OK-202,الادارة العامة نسائم صلالة : بنايات عوقد : عوقد-5,TWO_BEDROOM
5241128f-d04e-456a-8ba0-1ad6df7f51e1,6795,OK-201,الادارة العامة نسائم صلالة : بنايات عوقد : عوقد-5,STUDIO
5241128f-d04e-456a-8ba0-1ad6df7f51e1,6770,OK-105,الادارة العامة نسائم صلالة : بنايات عوقد : عوقد-5,TWO_BEDROOM
5241128f-d04e-456a-8ba0-1ad6df7f51e1,6769,OK-104,الادارة العامة نسائم صلالة : بنايات عوقد : عوقد-5,TWO_BEDROOM
5241128f-d04e-456a-8ba0-1ad6df7f51e1,6768,OK-103,الادارة العامة نسائم صلالة : بنايات عوقد : عوقد-5,TWO_BEDROOM
